layer,head,paper2_delta_raw_wt103,pile_delta_mean_ablation,rank_p2,rank_pile
8,9,0.4453199863433837,0.08049416542053223,1.0,2.0
4,6,0.0783555412292478,0.1281638741493225,2.0,1.0
0,9,0.024586830139159722,0.026448320597410202,3.0,3.0
1,6,0.02052186965942344,0.02260705828666687,4.0,4.0
12,0,0.018240556716918765,0.006134118884801865,5.0,5.0
