tier,layer_a,head_a,layer_b,head_b,same_layer,baseline,loss_a,loss_b,loss_ab,delta_a,delta_b,delta_ab,epsilon,epsilon_se,z_score
2,2,2,18,9,False,2.996514156460762,3.0052096471190453,2.997706849128008,3.0064450167119503,0.008695490658283234,0.0011926926672458649,0.009930860251188278,4.267692565917969e-05,1.0477304718749372e-05,4.07327330881275
2,10,8,15,11,False,2.996514156460762,3.0186081118881702,2.9980918169021606,3.0210443511605263,0.02209395542740822,0.0015776604413986206,0.02453019469976425,0.0008585788309574127,4.0267987971869584e-05,21.321622315900136
2,10,6,20,9,False,2.996514156460762,3.0007189102470875,2.9983899369835854,3.0026210471987724,0.004204753786325455,0.0018757805228233337,0.0061068907380104065,2.6356428861618042e-05,7.054053290069906e-06,3.7363523888769556
2,2,1,16,11,False,2.996514156460762,2.9969132356345654,3.001971624791622,3.0022971965372562,0.00039907917380332947,0.005457468330860138,0.005783040076494217,-7.350742816925049e-05,1.0947232686243392e-05,-6.714704097010932
2,2,4,4,13,False,2.996514156460762,2.999837215989828,2.9982189536094666,3.001651205122471,0.003323059529066086,0.0017047971487045288,0.005137048661708832,0.00010919198393821716,1.2981308068309173e-05,8.41147774659041
2,12,10,23,6,False,2.996514156460762,2.9991405121982098,2.9968543238937855,2.999470803886652,0.0026263557374477386,0.00034016743302345276,0.002956647425889969,-9.875744581222534e-06,1.7781228372669836e-06,-5.554028312465625
2,17,10,18,4,False,2.996514156460762,3.000068739056587,2.9987677074968815,3.0024137049913406,0.0035545825958251953,0.002253551036119461,0.005899548530578613,9.141489863395691e-05,1.0279912862440738e-05,8.892575244285919
2,17,3,18,13,False,2.996514156460762,2.9975614845752716,2.996756184846163,2.9978072233498096,0.0010473281145095825,0.0002420283854007721,0.0012930668890476227,3.7103891372680664e-06,6.122404183200101e-06,0.6060346599542362
2,3,1,12,5,False,2.996514156460762,3.000944308936596,3.0017404705286026,3.0062635205686092,0.004430152475833893,0.005226314067840576,0.009749364107847214,9.289756417274475e-05,1.430487784529156e-05,6.494117962938209
2,10,12,20,2,False,2.996514156460762,3.003236450254917,2.9966786429286003,3.003405150026083,0.006722293794155121,0.00016448646783828735,0.006890993565320969,4.213303327560425e-06,7.639970176033939e-06,0.5514816459332875
2,8,14,12,0,False,2.996514156460762,3.0001707412302494,3.002648275345564,3.006212268024683,0.003656584769487381,0.006134118884801865,0.009698111563920975,-9.259209036827087e-05,2.3769691886267096e-05,-3.895384543110793
2,4,6,22,3,False,2.996514156460762,3.1246780306100845,2.997096087783575,3.1248698197305202,0.1281638741493225,0.0005819313228130341,0.12835566326975822,-0.00039014220237731934,1.899208827770233e-05,-20.54235409359201
2,15,7,18,12,False,2.996514156460762,2.9977480061352253,2.9999482929706573,3.0011576414108276,0.001233849674463272,0.0034341365098953247,0.004643484950065613,-2.450123429298401e-05,7.340818908832917e-06,-3.3376704421222874
2,9,10,19,11,False,2.996514156460762,3.0056369081139565,2.998653594404459,3.008007165044546,0.009122751653194427,0.0021394379436969757,0.011493008583784103,0.0002308189868927002,2.2146995420065827e-05,10.42213548676546
2,10,10,13,1,False,2.996514156460762,3.010299786925316,3.0030230693519115,3.0164673812687397,0.013785630464553833,0.006508912891149521,0.019953224807977676,-0.0003413185477256775,4.5801375264002196e-05,-7.452146267623942
2,5,7,10,12,False,2.996514156460762,2.9987186193466187,3.003236450254917,3.0058996118605137,0.0022044628858566284,0.006722293794155121,0.009385455399751663,0.00045869871973991394,2.3808867509264863e-05,19.26587728548694
2,2,3,13,4,False,2.996514156460762,2.998048525303602,2.9970632642507553,2.9985693842172623,0.0015343688428401947,0.0005491077899932861,0.002055227756500244,-2.8248876333236694e-05,7.160915522227511e-06,-3.9448693739720944
2,1,8,21,4,False,2.996514156460762,2.9974331595003605,2.996836882084608,2.9977526366710663,0.000919003039598465,0.0003227256238460541,0.0012384802103042603,-3.248453140258789e-06,2.881300845764526e-06,-1.1274258795411705
2,19,13,20,9,False,2.996514156460762,2.9962368607521057,2.9983899369835854,2.998109359294176,-0.00027729570865631104,0.0018757805228233337,0.0015952028334140778,-3.2819807529449463e-06,4.030690538016933e-06,-0.8142477627567147
2,6,10,15,2,False,2.996514156460762,2.999605692923069,3.0020052194595337,3.0050163641572,0.0030915364623069763,0.0054910629987716675,0.008502207696437836,-8.03917646408081e-05,2.3429962571357947e-05,-3.4311520727345655
2,3,15,18,3,False,2.996514156460762,2.994117558002472,2.9967064186930656,2.9942805655300617,-0.0023965984582901,0.00019226223230361938,-0.002233590930700302,-2.925470471382141e-05,7.196986698245489e-06,-4.06485463158536
2,8,8,16,13,False,2.996514156460762,2.9963381327688694,3.0000654086470604,2.9999075680971146,-0.0001760236918926239,0.0035512521862983704,0.003393411636352539,1.8183141946792603e-05,8.238362774273002e-06,2.207130523988995
2,1,10,23,4,False,2.996514156460762,3.041424933820963,2.996661387383938,3.0415915437042713,0.04491077736020088,0.00014723092317581177,0.04507738724350929,1.9378960132598877e-05,8.806276995348657e-06,2.2005848944831685
2,10,11,21,6,False,2.996514156460762,3.019020739942789,2.99658540263772,3.0191500186920166,0.022506583482027054,7.12461769580841e-05,0.022635862231254578,5.80325722694397e-05,6.5506285253847245e-06,8.859084596929023
2,16,4,18,10,False,2.996514156460762,2.9984483681619167,3.0011086016893387,3.003549002110958,0.0019342117011547089,0.00459444522857666,0.0070348456501960754,0.0005061887204647064,4.321694837514423e-05,11.712736310549763
2,4,10,18,3,False,2.996514156460762,2.99643886461854,2.9967064186930656,2.9966272562742233,-7.529184222221375e-05,0.00019226223230361938,0.00011309981346130371,-3.870576620101929e-06,4.9707532429876086e-06,-0.778670038703343
2,8,11,11,3,False,2.996514156460762,3.0006744861602783,3.0004144087433815,3.004745729267597,0.004160329699516296,0.0039002522826194763,0.008231572806835175,0.00017099082469940186,2.2215048172656544e-05,7.697071974386551
2,1,0,11,15,False,2.996514156460762,2.99640903621912,2.9999366775155067,2.9998515397310257,-0.00010512024164199829,0.0034225210547447205,0.003337383270263672,1.9982457160949707e-05,9.897233383943673e-06,2.0189942366487323
2,3,11,13,1,False,2.996514156460762,2.998199474066496,3.0030230693519115,3.0047178082168102,0.0016853176057338715,0.006508912891149521,0.008203651756048203,9.42125916481018e-06,1.2404247777912617e-05,0.7595187820728608
2,16,6,17,13,False,2.996514156460762,2.9977081529796124,3.0128828659653664,3.014074210077524,0.0011939965188503265,0.01636870950460434,0.01756005361676216,-2.652406692504883e-06,1.2432451758481298e-05,-0.21334542405888982
2,17,13,22,2,False,2.996514156460762,3.0128828659653664,2.997451566159725,3.013985726982355,0.01636870950460434,0.0009374096989631653,0.017471570521593094,0.000165451318025589,2.0768531987097944e-05,7.966442603086847
2,8,12,23,3,False,2.996514156460762,3.0030102394521236,2.996790800243616,3.00328067317605,0.006496082991361618,0.0002766437828540802,0.006766516715288162,-6.210058927536011e-06,2.5680859957626877e-06,-2.4181662677116487
2,7,13,9,13,False,2.996514156460762,2.9974154122173786,3.002619955688715,3.004002772271633,0.0009012557566165924,0.006105799227952957,0.007488615810871124,0.0004815608263015747,2.888990825432348e-05,16.668825046528397
2,8,14,21,11,False,2.996514156460762,3.0001707412302494,2.998678520321846,3.0024667978286743,0.003656584769487381,0.0021643638610839844,0.0059526413679122925,0.00013169273734092712,1.2891710470970388e-05,10.215303674207812
2,1,13,11,4,False,2.996514156460762,3.0049324072897434,3.002048119902611,3.0103182531893253,0.0084182508289814,0.005533963441848755,0.013804096728563309,-0.0001481175422668457,1.9323665438829254e-05,-7.665085215624576
2,4,8,19,1,False,2.996514156460762,3.0121222883462906,2.997513297945261,3.013114646077156,0.015608131885528564,0.0009991414844989777,0.016600489616394043,-6.7837536334991455e-06,6.288236465827287e-06,-1.0788006574442122
2,3,1,11,1,False,2.996514156460762,3.000944308936596,2.997284922748804,3.001688949763775,0.004430152475833893,0.0007707662880420685,0.005174793303012848,-2.6125460863113403e-05,1.3918528007576383e-05,-1.8770275742443685
2,11,6,16,7,False,2.996514156460762,2.9975830614566803,3.007871590554714,3.009403731673956,0.001068904995918274,0.011357434093952179,0.012889575213193893,0.00046323612332344055,1.6561704361744423e-05,27.97031713677133
2,5,7,7,14,False,2.996514156460762,2.9987186193466187,3.00437580794096,3.006624359637499,0.0022044628858566284,0.007861651480197906,0.010110203176736832,4.408881068229675e-05,1.8527927504763142e-05,2.379586743901197
2,13,8,16,1,False,2.996514156460762,3.0016431659460068,2.9983208030462265,3.003378327935934,0.005129009485244751,0.0018066465854644775,0.006864171475172043,-7.148459553718567e-05,1.9092691961609152e-05,-3.7440815407761323
2,10,7,22,9,False,2.996514156460762,3.0037730298936367,2.996950127184391,3.0042168460786343,0.0072588734328746796,0.0004359707236289978,0.007702689617872238,7.845461368560791e-06,3.456073414383845e-06,2.2700505538767595
2,3,13,19,15,False,2.996514156460762,3.001496072858572,2.996502410620451,3.0014752857387066,0.004981916397809982,-1.1745840311050415e-05,0.004961129277944565,-9.041279554367065e-06,5.106684827694035e-06,-1.7704792560009481
2,15,1,16,12,False,2.996514156460762,3.0002780705690384,3.0059260614216328,3.0097075700759888,0.003763914108276367,0.009411904960870743,0.013193413615226746,1.759454607963562e-05,7.782042382424367e-06,2.2609162498745388
2,2,5,7,7,False,2.996514156460762,2.9978009201586246,2.999027919024229,3.000309955328703,0.0012867636978626251,0.0025137625634670258,0.0037957988679409027,-4.727393388748169e-06,9.503523140381421e-06,-0.4974358791910551
2,18,6,19,15,False,2.996514156460762,2.997788343578577,2.996502410620451,2.9977726452052593,0.0012741871178150177,-1.1745840311050415e-05,0.0012584887444972992,-3.952533006668091e-06,4.740777882790832e-06,-0.8337308991032687
2,10,7,19,5,False,2.996514156460762,3.0037730298936367,2.9968008771538734,3.0039992965757847,0.0072588734328746796,0.0002867206931114197,0.007485140115022659,-6.045401096343994e-05,2.7677246539329316e-05,-2.184249465622778
2,9,4,20,3,False,2.996514156460762,3.002807080745697,2.996868122369051,3.003157962113619,0.0062929242849349976,0.0003539659082889557,0.006643805652856827,-3.084540367126465e-06,4.503645994126841e-06,-0.6848984958295974
2,6,14,21,8,False,2.996514156460762,2.997883591800928,2.9968193285167217,2.9981926903128624,0.001369435340166092,0.00030517205595970154,0.0016785338521003723,3.926455974578857e-06,2.8022609826193996e-06,1.4011742656847836
2,5,11,16,6,False,2.996514156460762,3.0028784163296223,2.9977081529796124,3.004057575017214,0.006364259868860245,0.0011939965188503265,0.0075434185564517975,-1.4837831258773804e-05,1.0984252209148308e-05,-1.3508276190541235
2,3,5,15,4,False,2.996514156460762,3.001458715647459,2.998055525124073,3.003066848963499,0.004944559186697006,0.0015413686633110046,0.006552692502737045,6.676465272903442e-05,1.0652531813279308e-05,6.267491512750657
