layer,head,paper2_baseline,paper2_perturbed,paper2_delta_raw,ours_baseline,ours_perturbed,ours_delta_raw,ours_delta_se,abs_diff,n_se,agree
0,9,2.891820306777954,2.916407136917114,0.024586830139159722,2.8918202781677245,2.9164071083068848,0.0245868301391603,0.0012963565530321273,5.759281940243e-16,4.442668127663076e-13,True
5,6,2.891820306777954,2.898805980682373,0.006985673904418514,2.8918202781677245,2.898805980682373,0.006985702514648473,0.000498339171397037,2.8610229959452615e-08,5.741116011259381e-05,True
8,9,2.891820306777954,3.337140293121338,0.4453199863433837,2.8918202781677245,3.3371403121948244,0.44532003402709996,0.008439760638140772,4.768371625329948e-08,5.649889647084104e-06,True
15,0,2.891820306777954,2.899126615524292,0.0073063087463373965,2.8918202781677245,2.8991266250610352,0.007306346893310778,0.0004930479687976652,3.814697338132972e-08,7.736969989827562e-05,True
20,12,2.891820306777954,2.892178840637207,0.00035853385925246683,2.8918202781677245,2.892178859710693,0.00035858154296875,9.279495959919022e-05,4.768371628316925e-08,0.0005138610597938702,True
23,15,2.891820306777954,2.8919999980926514,0.0001796913146971946,2.8918202781677245,2.891999979019165,0.00017970085144058956,5.782914451706413e-05,9.536743394961784e-09,0.00016491240661787237,True
